-------------------Pass: 0------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
1103	6/30/1995	  A	      B
864	12/31/2005	  A	      D
865	12/31/2005	  A	      C
889	12/31/2005	  A	      D
902	12/31/2005	  A	      C
917	12/31/2005	  A	      B
933	12/31/2005	  B	      A
955	12/31/2005	  C	      F
957	12/31/2005	  A	      C
960	12/31/2005	  A	      F
971	12/31/2005	  D	      A
976	12/31/2005	  B	      F
977	12/31/2005	  A	      B
979	12/31/2005	  A	      B
980	12/31/2005	  B	      F
981	12/31/2005	  A	      C
985	12/31/2005	  A	      B
986	12/31/2005	  A	      B
987	12/31/2005	  A	      F
988	12/31/2005	  A	      C
992	12/31/2005	  C	      F
993	12/31/2005	  C	      F
995	12/31/2005	  C	      F
997	12/31/2005	  A	      B
998	12/31/2005	  A	      F
1002	12/31/2005	  A	      F
1004	12/31/2005	  A	      B
1005	12/31/2005	  C	      F
1009	12/31/2005	  A	      D
1010	12/31/2005	  A	      F
1013	12/31/2005	  A	      F
1040	12/31/2005	  A	      C
1046	12/31/2005	  A	      B
1048	12/31/2005	  A	      B
1050	12/31/2005	  A	      C
1051	12/31/2005	  A	      B
1052	12/31/2005	  A	      F
1054	12/31/2005	  A	      B
1056	12/31/2005	  A	      D
1059	12/31/2005	  A	      B
1061	12/31/2005	  A	      B
1062	12/31/2005	  A	      C
1068	12/31/2005	  A	      D
1150	12/31/2005	  A	      D
1161	12/31/2005	  A	      D
1163	12/31/2005	  A	      B
1164	12/31/2005	  A	      F
-------------------------------------------------
 
Total false positives :473.0
Total Prediction Accuracy: 71.65967645296585
Total A's: 1146.0, Correctly Predicted A's: 816.0, Accuracy: 71.20418848167539
Total B's: 241.0, Correctly Predicted B's: 173.0, Accuracy: 71.78423236514523
Total C's: 102.0, Correctly Predicted C's: 72.0, Accuracy: 70.58823529411765
Total D's: 83.0, Correctly Predicted D's: 58.0, Accuracy: 69.87951807228916
Total F's: 97.0, Correctly Predicted F's: 77.0, Accuracy: 79.38144329896907



-------------------Pass: 2------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
629	12/31/1997	  A	      F
632	12/31/1997	  A	      C
637	12/31/1997	  C	      F
645	12/31/1997	  C	      A
647	12/31/1997	  B	      A
655	12/31/1997	  B	      D
656	12/31/1997	  A	      D
660	12/31/1997	  A	      F
662	12/31/1997	  A	      F
677	12/31/1997	  A	      B
682	12/31/1997	  A	      F
684	12/31/1997	  B	      D
686	12/31/1997	  D	      A
690	12/31/1997	  A	      B
691	12/31/1997	  A	      D
698	12/31/1997	  A	      D
700	12/31/1997	  A	      B
703	12/31/1997	  F	      A
704	12/31/1997	  A	      B
706	12/31/1997	  A	      F
707	12/31/1997	  A	      F
712	12/31/1997	  A	      D
713	12/31/1997	  A	      B
717	12/31/1997	  B	      F
718	12/31/1997	  A	      B
720	12/31/1997	  A	      F
723	12/31/1997	  A	      D
744	12/31/1997	  A	      D
748	12/31/1997	  A	      B
751	12/31/1997	  A	      B
752	12/31/1997	  A	      B
755	12/31/1997	  A	      D
759	12/31/1997	  B	      A
760	12/31/1997	  A	      F
767	12/31/1997	  A	      B
769	12/31/1997	  A	      D
771	12/31/1997	  A	      B
776	12/31/1997	  A	      B
778	12/31/1997	  A	      B
781	12/31/1997	  B	      C
783	12/31/1997	  B	      A
786	12/31/1997	  F	      D
789	12/31/1997	  A	      B
790	12/31/1997	  A	      B
796	12/31/1997	  F	      D
797	12/31/1997	  A	      B
798	12/31/1997	  A	      B
806	12/31/1997	  A	      B
814	12/31/1997	  A	      B
823	12/31/1997	  A	      F
836	12/31/1997	  A	      B
865	12/31/1997	  A	      D
880	12/31/1997	  A	      B
881	12/31/1997	  A	      B
884	12/31/1997	  A	      B
890	12/31/1997	  A	      B
905	12/31/1997	  B	      A
910	12/31/1997	  C	      D
923	12/31/1997	  A	      B
930	12/31/1997	  A	      B
938	12/31/1997	  B	      A
953	12/31/1997	  A	      B
965	12/31/1997	  A	      B
971	12/31/1997	  A	      D
976	12/31/1997	  B	      C
979	12/31/1997	  D	      A
980	12/31/1997	  A	      C
981	12/31/1997	  F	      A
985	12/31/1997	  A	      B
989	12/31/1997	  D	      A
991	12/31/1997	  A	      B
993	12/31/1997	  D	      B
995	12/31/1997	  C	      A
996	12/31/1997	  D	      A
1000	12/31/1997	  A	      B
1003	12/31/1997	  B	      D
1008	12/31/1997	  B	      C
1011	12/31/1997	  C	      D
1042	12/31/1997	  F	      C
1054	12/31/1997	  A	      D
1057	12/31/1997	  A	      B
1061	12/31/1997	  A	      F
1062	12/31/1997	  B	      A
1065	12/31/1997	  A	      B
629	12/31/1998	  A	      F
632	12/31/1998	  B	      F
637	12/31/1998	  C	      A
640	12/31/1998	  A	      C
645	12/31/1998	  C	      A
647	12/31/1998	  B	      A
655	12/31/1998	  B	      A
656	12/31/1998	  A	      D
660	12/31/1998	  A	      B
662	12/31/1998	  A	      F
667	12/31/1998	  B	      F
677	12/31/1998	  A	      B
682	12/31/1998	  A	      B
698	12/31/1998	  C	      A
700	12/31/1998	  A	      B
703	12/31/1998	  F	      A
712	12/31/1998	  F	      B
717	12/31/1998	  B	      C
718	12/31/1998	  A	      B
720	12/31/1998	  A	      C
744	12/31/1998	  D	      B
748	12/31/1998	  A	      B
749	12/31/1998	  A	      D
751	12/31/1998	  A	      B
752	12/31/1998	  A	      B
755	12/31/1998	  F	      D
759	12/31/1998	  B	      A
-------------------------------------------------
 
-----------False positives in fold no.1----------
 
rm_key | statement_date | predicted | actual 
771	12/31/1998	  D	      B
786	12/31/1998	  F	      A
787	12/31/1998	  A	      B
796	12/31/1998	  F	      A
798	12/31/1998	  A	      B
865	12/31/1998	  A	      B
905	12/31/1998	  A	      B
910	12/31/1998	  C	      D
930	12/31/1998	  A	      B
933	12/31/1998	  B	      A
965	12/31/1998	  A	      B
974	12/31/1998	  F	      C
976	12/31/1998	  A	      B
985	12/31/1998	  B	      A
989	12/31/1998	  A	      D
991	12/31/1998	  A	      B
995	12/31/1998	  A	      C
996	12/31/1998	  A	      D
1000	12/31/1998	  A	      B
1011	12/31/1998	  D	      C
1042	12/31/1998	  C	      F
1061	12/31/1998	  A	      F
1062	12/31/1998	  A	      B
1065	12/31/1998	  A	      B
715	6/30/1999	  D	      A
682	12/15/1999	  F	      B
632	12/31/1999	  A	      B
637	12/31/1999	  A	      C
655	12/31/1999	  B	      A
660	12/31/1999	  A	      B
671	12/31/1999	  A	      B
677	12/31/1999	  A	      B
694	12/31/1999	  A	      D
699	12/31/1999	  A	      C
700	12/31/1999	  D	      A
712	12/31/1999	  A	      B
717	12/31/1999	  C	      F
722	12/31/1999	  A	      D
744	12/31/1999	  A	      B
748	12/31/1999	  A	      B
751	12/31/1999	  A	      B
759	12/31/1999	  A	      D
763	12/31/1999	  B	      A
771	12/31/1999	  A	      B
774	12/31/1999	  A	      B
780	12/31/1999	  A	      D
781	12/31/1999	  B	      D
791	12/31/1999	  A	      B
797	12/31/1999	  A	      F
798	12/31/1999	  A	      B
801	12/31/1999	  A	      D
805	12/31/1999	  A	      D
808	12/31/1999	  A	      D
814	12/31/1999	  A	      B
815	12/31/1999	  A	      D
823	12/31/1999	  A	      F
828	12/31/1999	  D	      A
831	12/31/1999	  A	      D
832	12/31/1999	  A	      D
862	12/31/1999	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.2----------
 
rm_key | statement_date | predicted | actual 
865	12/31/1999	  B	      A
905	12/31/1999	  A	      B
910	12/31/1999	  D	      C
916	12/31/1999	  A	      F
933	12/31/1999	  A	      B
936	12/31/1999	  A	      D
938	12/31/1999	  A	      B
955	12/31/1999	  A	      B
971	12/31/1999	  A	      D
977	12/31/1999	  A	      D
979	12/31/1999	  A	      D
980	12/31/1999	  A	      B
985	12/31/1999	  A	      B
989	12/31/1999	  A	      F
991	12/31/1999	  A	      B
995	12/31/1999	  F	      C
996	12/31/1999	  A	      D
998	12/31/1999	  A	      C
1003	12/31/1999	  B	      A
1004	12/31/1999	  C	      F
1005	12/31/1999	  B	      D
1008	12/31/1999	  A	      B
1010	12/31/1999	  A	      B
1011	12/31/1999	  A	      C
1042	12/31/1999	  A	      F
1048	12/31/1999	  A	      C
1049	12/31/1999	  B	      C
1061	12/31/1999	  A	      F
1062	12/31/1999	  A	      B
1065	12/31/1999	  A	      B
715	6/30/2000	  A	      D
632	12/31/2000	  B	      A
647	12/31/2000	  A	      B
655	12/31/2000	  A	      B
660	12/31/2000	  A	      B
667	12/31/2000	  B	      C
668	12/31/2000	  A	      D
669	12/31/2000	  B	      A
677	12/31/2000	  B	      F
678	12/31/2000	  A	      C
682	12/31/2000	  B	      A
703	12/31/2000	  A	      D
712	12/31/2000	  B	      F
716	12/31/2000	  A	      D
717	12/31/2000	  C	      B
720	12/31/2000	  B	      F
723	12/31/2000	  A	      F
744	12/31/2000	  B	      D
751	12/31/2000	  F	      C
755	12/31/2000	  D	      F
757	12/31/2000	  A	      F
758	12/31/2000	  A	      D
759	12/31/2000	  A	      C
760	12/31/2000	  A	      C
764	12/31/2000	  A	      B
771	12/31/2000	  A	      B
786	12/31/2000	  A	      F
791	12/31/2000	  A	      B
793	12/31/2000	  A	      D
796	12/31/2000	  A	      F
797	12/31/2000	  A	      B
798	12/31/2000	  A	      B
805	12/31/2000	  A	      D
814	12/31/2000	  B	      D
828	12/31/2000	  A	      D
832	12/31/2000	  A	      B
842	12/31/2000	  A	      D
862	12/31/2000	  A	      B
865	12/31/2000	  B	      A
873	12/31/2000	  A	      B
910	12/31/2000	  D	      C
916	12/31/2000	  A	      C
918	12/31/2000	  A	      B
922	12/31/2000	  A	      F
933	12/31/2000	  A	      B
954	12/31/2000	  A	      D
955	12/31/2000	  A	      B
960	12/31/2000	  B	      D
971	12/31/2000	  A	      D
979	12/31/2000	  A	      D
980	12/31/2000	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.3----------
 
rm_key | statement_date | predicted | actual 
986	12/31/2000	  A	      B
988	12/31/2000	  A	      B
989	12/31/2000	  A	      D
991	12/31/2000	  A	      B
993	12/31/2000	  B	      D
995	12/31/2000	  C	      F
998	12/31/2000	  A	      B
1000	12/31/2000	  B	      A
1003	12/31/2000	  A	      B
1004	12/31/2000	  C	      D
1038	12/31/2000	  A	      B
1042	12/31/2000	  A	      F
1048	12/31/2000	  A	      F
1049	12/31/2000	  B	      D
1054	12/31/2000	  A	      B
1061	12/31/2000	  A	      B
1062	12/31/2000	  A	      B
1098	12/31/2000	  A	      B
1099	12/31/2000	  A	      B
1100	12/31/2000	  A	      B
1101	12/31/2000	  A	      B
1102	12/31/2000	  A	      B
1103	12/31/2000	  A	      B
1104	12/31/2000	  A	      B
1105	12/31/2000	  A	      B
1126	12/31/2000	  A	      B
1127	12/31/2000	  A	      B
1129	12/31/2000	  A	      B
1143	12/31/2000	  A	      D
1159	12/31/2000	  A	      B
1162	12/31/2000	  A	      C
1164	12/31/2000	  A	      C
1168	12/31/2000	  A	      B
632	12/31/2001	  A	      B
637	12/31/2001	  D	      A
640	12/31/2001	  A	      D
647	12/31/2001	  A	      F
655	12/31/2001	  A	      D
660	12/31/2001	  A	      B
667	12/31/2001	  B	      F
669	12/31/2001	  A	      B
674	12/31/2001	  A	      D
677	12/31/2001	  B	      F
681	12/31/2001	  A	      B
682	12/31/2001	  B	      C
684	12/31/2001	  B	      F
687	12/31/2001	  A	      D
700	12/31/2001	  A	      B
707	12/31/2001	  F	      A
716	12/31/2001	  A	      B
717	12/31/2001	  F	      C
718	12/31/2001	  A	      D
722	12/31/2001	  A	      C
744	12/31/2001	  A	      B
748	12/31/2001	  B	      A
751	12/31/2001	  A	      F
755	12/31/2001	  A	      D
759	12/31/2001	  A	      D
760	12/31/2001	  A	      B
763	12/31/2001	  A	      B
764	12/31/2001	  A	      B
766	12/31/2001	  A	      F
771	12/31/2001	  A	      B
772	12/31/2001	  A	      B
781	12/31/2001	  A	      C
783	12/31/2001	  A	      B
785	12/31/2001	  A	      B
786	12/31/2001	  F	      B
789	12/31/2001	  B	      A
790	12/31/2001	  A	      B
791	12/31/2001	  B	      A
792	12/31/2001	  A	      B
795	12/31/2001	  A	      B
796	12/31/2001	  A	      F
798	12/31/2001	  A	      B
803	12/31/2001	  A	      F
808	12/31/2001	  A	      F
817	12/31/2001	  A	      D
818	12/31/2001	  D	      A
828	12/31/2001	  A	      D
832	12/31/2001	  A	      B
840	12/31/2001	  A	      B
864	12/31/2001	  A	      B
865	12/31/2001	  A	      C
866	12/31/2001	  A	      B
897	12/31/2001	  A	      B
910	12/31/2001	  C	      F
918	12/31/2001	  A	      B
922	12/31/2001	  A	      C
933	12/31/2001	  B	      A
936	12/31/2001	  A	      C
955	12/31/2001	  A	      B
960	12/31/2001	  B	      F
981	12/31/2001	  A	      D
985	12/31/2001	  C	      B
987	12/31/2001	  D	      A
992	12/31/2001	  A	      B
993	12/31/2001	  B	      D
995	12/31/2001	  A	      F
998	12/31/2001	  A	      C
1003	12/31/2001	  A	      B
1010	12/31/2001	  B	      A
1042	12/31/2001	  C	      F
1048	12/31/2001	  A	      F
1054	12/31/2001	  A	      B
1061	12/31/2001	  A	      B
1062	12/31/2001	  A	      B
1065	12/31/2001	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.4----------
 
rm_key | statement_date | predicted | actual 
1080	12/31/2001	  A	      D
1159	12/31/2001	  B	      A
1164	12/31/2001	  A	      B
1168	12/31/2001	  A	      B
715	6/30/2006	  A	      C
815	9/30/2006	  A	      B
252	12/31/2006	  A	      D
253	12/31/2006	  A	      C
255	12/31/2006	  A	      D
258	12/31/2006	  A	      D
259	12/31/2006	  A	      B
311	12/31/2006	  A	      D
447	12/31/2006	  A	      D
448	12/31/2006	  A	      D
449	12/31/2006	  A	      F
451	12/31/2006	  A	      D
454	12/31/2006	  A	      D
498	12/31/2006	  A	      C
501	12/31/2006	  A	      D
632	12/31/2006	  A	      B
637	12/31/2006	  A	      D
645	12/31/2006	  A	      C
647	12/31/2006	  A	      B
653	12/31/2006	  A	      B
655	12/31/2006	  A	      B
660	12/31/2006	  B	      A
668	12/31/2006	  A	      F
675	12/31/2006	  B	      A
677	12/31/2006	  F	      B
682	12/31/2006	  B	      F
684	12/31/2006	  B	      C
686	12/31/2006	  D	      B
690	12/31/2006	  A	      C
691	12/31/2006	  A	      B
694	12/31/2006	  A	      D
696	12/31/2006	  A	      B
698	12/31/2006	  A	      C
699	12/31/2006	  B	      A
700	12/31/2006	  A	      D
703	12/31/2006	  A	      F
707	12/31/2006	  A	      B
712	12/31/2006	  A	      D
714	12/31/2006	  A	      B
718	12/31/2006	  B	      A
721	12/31/2006	  A	      B
722	12/31/2006	  A	      F
723	12/31/2006	  A	      B
744	12/31/2006	  B	      F
745	12/31/2006	  A	      B
748	12/31/2006	  B	      A
749	12/31/2006	  A	      B
751	12/31/2006	  C	      F
755	12/31/2006	  D	      A
757	12/31/2006	  A	      D
759	12/31/2006	  A	      B
760	12/31/2006	  A	      B
767	12/31/2006	  A	      D
769	12/31/2006	  A	      C
771	12/31/2006	  B	      D
772	12/31/2006	  A	      B
774	12/31/2006	  A	      F
781	12/31/2006	  A	      C
783	12/31/2006	  A	      B
784	12/31/2006	  A	      B
786	12/31/2006	  A	      F
789	12/31/2006	  A	      B
790	12/31/2006	  A	      B
791	12/31/2006	  A	      B
792	12/31/2006	  A	      C
796	12/31/2006	  F	      B
798	12/31/2006	  A	      B
800	12/31/2006	  A	      B
803	12/31/2006	  A	      F
805	12/31/2006	  A	      F
808	12/31/2006	  A	      B
812	12/31/2006	  A	      B
814	12/31/2006	  B	      F
818	12/31/2006	  A	      D
824	12/31/2006	  A	      D
828	12/31/2006	  D	      A
833	12/31/2006	  A	      D
840	12/31/2006	  A	      C
842	12/31/2006	  D	      A
852	12/31/2006	  A	      D
865	12/31/2006	  A	      B
888	12/31/2006	  A	      B
889	12/31/2006	  A	      D
897	12/31/2006	  A	      B
898	12/31/2006	  A	      D
902	12/31/2006	  A	      B
904	12/31/2006	  A	      B
905	12/31/2006	  B	      A
917	12/31/2006	  A	      B
955	12/31/2006	  C	      F
957	12/31/2006	  A	      F
960	12/31/2006	  B	      F
972	12/31/2006	  A	      D
976	12/31/2006	  B	      F
977	12/31/2006	  A	      B
979	12/31/2006	  A	      F
980	12/31/2006	  A	      B
981	12/31/2006	  A	      F
985	12/31/2006	  B	      C
986	12/31/2006	  A	      F
987	12/31/2006	  A	      D
988	12/31/2006	  A	      F
993	12/31/2006	  A	      C
995	12/31/2006	  C	      F
997	12/31/2006	  A	      B
998	12/31/2006	  A	      F
1002	12/31/2006	  A	      B
1003	12/31/2006	  B	      F
1004	12/31/2006	  A	      B
1005	12/31/2006	  A	      B
1008	12/31/2006	  A	      B
1010	12/31/2006	  A	      F
1011	12/31/2006	  A	      C
1013	12/31/2006	  A	      F
1040	12/31/2006	  A	      C
1042	12/31/2006	  A	      B
1046	12/31/2006	  A	      B
1048	12/31/2006	  A	      B
1049	12/31/2006	  B	      D
1050	12/31/2006	  F	      C
1051	12/31/2006	  A	      B
1052	12/31/2006	  A	      B
1054	12/31/2006	  A	      B
1056	12/31/2006	  A	      B
1057	12/31/2006	  A	      B
1061	12/31/2006	  A	      B
1062	12/31/2006	  A	      B
1150	12/31/2006	  A	      D
1159	12/31/2006	  B	      A
1162	12/31/2006	  C	      A
1163	12/31/2006	  A	      C
1164	12/31/2006	  A	      F
1170	12/31/2006	  A	      D
-------------------------------------------------
 
Total false positives :497.0
Total Prediction Accuracy: 70.8162066940693
Total A's: 1170.0, Correctly Predicted A's: 807.0, Accuracy: 68.97435897435898
Total B's: 263.0, Correctly Predicted B's: 192.0, Accuracy: 73.00380228136882
Total C's: 104.0, Correctly Predicted C's: 82.0, Accuracy: 78.84615384615384
Total D's: 65.0, Correctly Predicted D's: 44.0, Accuracy: 67.6923076923077
Total F's: 101.0, Correctly Predicted F's: 81.0, Accuracy: 80.1980198019802



-------------------Pass: 3------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
629	12/31/1998	  B	      F
632	12/31/1998	  A	      F
640	12/31/1998	  A	      C
647	12/31/1998	  B	      A
655	12/31/1998	  D	      A
656	12/31/1998	  A	      D
660	12/31/1998	  A	      B
662	12/31/1998	  A	      F
669	12/31/1998	  D	      A
677	12/31/1998	  A	      B
682	12/31/1998	  A	      B
686	12/31/1998	  A	      D
700	12/31/1998	  A	      B
712	12/31/1998	  F	      B
717	12/31/1998	  B	      C
718	12/31/1998	  A	      B
720	12/31/1998	  A	      C
744	12/31/1998	  A	      B
748	12/31/1998	  A	      B
749	12/31/1998	  A	      D
751	12/31/1998	  A	      B
752	12/31/1998	  A	      B
755	12/31/1998	  F	      D
759	12/31/1998	  C	      A
760	12/31/1998	  A	      B
771	12/31/1998	  C	      B
786	12/31/1998	  F	      A
787	12/31/1998	  A	      B
791	12/31/1998	  B	      A
792	12/31/1998	  B	      A
796	12/31/1998	  F	      A
797	12/31/1998	  A	      B
798	12/31/1998	  A	      B
805	12/31/1998	  D	      A
808	12/31/1998	  D	      A
832	12/31/1998	  B	      A
865	12/31/1998	  A	      B
905	12/31/1998	  A	      B
910	12/31/1998	  C	      D
930	12/31/1998	  A	      B
960	12/31/1998	  F	      B
965	12/31/1998	  A	      B
974	12/31/1998	  F	      C
976	12/31/1998	  A	      B
986	12/31/1998	  A	      B
989	12/31/1998	  A	      D
991	12/31/1998	  A	      B
995	12/31/1998	  A	      C
998	12/31/1998	  C	      A
1000	12/31/1998	  A	      B
1004	12/31/1998	  D	      C
1005	12/31/1998	  D	      B
1010	12/31/1998	  A	      B
1011	12/31/1998	  A	      C
1048	12/31/1998	  B	      A
1061	12/31/1998	  A	      F
1065	12/31/1998	  A	      B
715	6/30/1999	  D	      A
682	12/15/1999	  A	      B
632	12/31/1999	  A	      B
633	12/31/1999	  A	      B
637	12/31/1999	  A	      C
647	12/31/1999	  B	      A
655	12/31/1999	  D	      A
660	12/31/1999	  A	      B
667	12/31/1999	  F	      B
669	12/31/1999	  D	      A
671	12/31/1999	  A	      B
677	12/31/1999	  A	      B
686	12/31/1999	  A	      D
694	12/31/1999	  A	      D
699	12/31/1999	  A	      C
700	12/31/1999	  C	      A
712	12/31/1999	  A	      B
717	12/31/1999	  B	      F
744	12/31/1999	  A	      B
748	12/31/1999	  A	      B
751	12/31/1999	  A	      B
759	12/31/1999	  A	      D
760	12/31/1999	  A	      B
763	12/31/1999	  B	      A
-------------------------------------------------
 
-----------False positives in fold no.1----------
 
rm_key | statement_date | predicted | actual 
771	12/31/1999	  A	      B
774	12/31/1999	  A	      B
780	12/31/1999	  A	      D
781	12/31/1999	  B	      D
791	12/31/1999	  A	      B
797	12/31/1999	  A	      F
798	12/31/1999	  A	      B
801	12/31/1999	  A	      D
805	12/31/1999	  A	      D
808	12/31/1999	  A	      D
814	12/31/1999	  A	      B
815	12/31/1999	  A	      D
823	12/31/1999	  A	      F
831	12/31/1999	  A	      D
832	12/31/1999	  A	      D
862	12/31/1999	  A	      B
905	12/31/1999	  A	      B
910	12/31/1999	  F	      C
916	12/31/1999	  A	      F
933	12/31/1999	  A	      B
936	12/31/1999	  A	      D
938	12/31/1999	  A	      B
955	12/31/1999	  A	      B
960	12/31/1999	  F	      B
971	12/31/1999	  A	      D
977	12/31/1999	  A	      D
980	12/31/1999	  A	      B
985	12/31/1999	  A	      B
989	12/31/1999	  A	      F
991	12/31/1999	  A	      B
995	12/31/1999	  F	      C
998	12/31/1999	  A	      C
1003	12/31/1999	  B	      A
1004	12/31/1999	  C	      F
1005	12/31/1999	  B	      D
1008	12/31/1999	  A	      B
1010	12/31/1999	  A	      B
1011	12/31/1999	  A	      C
1042	12/31/1999	  A	      F
1048	12/31/1999	  A	      C
1049	12/31/1999	  B	      C
1061	12/31/1999	  A	      F
1062	12/31/1999	  A	      B
1065	12/31/1999	  A	      B
715	6/30/2000	  A	      D
640	12/31/2000	  B	      A
647	12/31/2000	  A	      B
655	12/31/2000	  A	      B
667	12/31/2000	  F	      C
668	12/31/2000	  A	      D
669	12/31/2000	  B	      A
674	12/31/2000	  D	      A
678	12/31/2000	  A	      C
682	12/31/2000	  B	      A
703	12/31/2000	  A	      D
712	12/31/2000	  B	      F
716	12/31/2000	  A	      D
717	12/31/2000	  C	      B
720	12/31/2000	  B	      F
723	12/31/2000	  A	      F
744	12/31/2000	  B	      D
751	12/31/2000	  A	      C
755	12/31/2000	  D	      F
757	12/31/2000	  A	      F
758	12/31/2000	  A	      D
759	12/31/2000	  A	      C
760	12/31/2000	  A	      C
764	12/31/2000	  A	      B
771	12/31/2000	  A	      B
786	12/31/2000	  A	      F
791	12/31/2000	  A	      B
792	12/31/2000	  B	      A
793	12/31/2000	  A	      D
798	12/31/2000	  A	      B
805	12/31/2000	  A	      D
808	12/31/2000	  B	      A
814	12/31/2000	  B	      D
828	12/31/2000	  A	      D
832	12/31/2000	  A	      B
842	12/31/2000	  A	      D
862	12/31/2000	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.2----------
 
rm_key | statement_date | predicted | actual 
873	12/31/2000	  A	      B
883	12/31/2000	  B	      A
916	12/31/2000	  A	      C
918	12/31/2000	  A	      B
922	12/31/2000	  A	      F
933	12/31/2000	  A	      B
953	12/31/2000	  B	      A
954	12/31/2000	  A	      D
955	12/31/2000	  A	      B
960	12/31/2000	  B	      D
971	12/31/2000	  A	      D
980	12/31/2000	  A	      B
986	12/31/2000	  A	      B
988	12/31/2000	  A	      B
989	12/31/2000	  A	      D
991	12/31/2000	  A	      B
995	12/31/2000	  C	      F
998	12/31/2000	  A	      B
1000	12/31/2000	  B	      A
1004	12/31/2000	  C	      D
1010	12/31/2000	  A	      B
1038	12/31/2000	  A	      B
1042	12/31/2000	  A	      F
1048	12/31/2000	  A	      F
1049	12/31/2000	  B	      D
1054	12/31/2000	  A	      B
1061	12/31/2000	  A	      B
1062	12/31/2000	  A	      B
1098	12/31/2000	  A	      B
1099	12/31/2000	  A	      B
1100	12/31/2000	  A	      B
1101	12/31/2000	  A	      B
1102	12/31/2000	  A	      B
1103	12/31/2000	  A	      B
1104	12/31/2000	  A	      B
1105	12/31/2000	  A	      B
1126	12/31/2000	  A	      B
1127	12/31/2000	  A	      B
1129	12/31/2000	  A	      B
1143	12/31/2000	  A	      D
1159	12/31/2000	  A	      B
1162	12/31/2000	  A	      C
1164	12/31/2000	  A	      C
1168	12/31/2000	  A	      B
632	12/31/2001	  A	      B
637	12/31/2001	  B	      A
640	12/31/2001	  A	      D
647	12/31/2001	  A	      F
655	12/31/2001	  A	      D
660	12/31/2001	  A	      B
669	12/31/2001	  A	      B
674	12/31/2001	  A	      D
681	12/31/2001	  A	      B
682	12/31/2001	  B	      C
684	12/31/2001	  B	      F
687	12/31/2001	  A	      D
700	12/31/2001	  A	      B
716	12/31/2001	  A	      B
717	12/31/2001	  B	      C
718	12/31/2001	  A	      D
722	12/31/2001	  A	      C
744	12/31/2001	  A	      B
745	12/31/2001	  C	      A
751	12/31/2001	  B	      F
755	12/31/2001	  C	      D
759	12/31/2001	  C	      D
760	12/31/2001	  A	      B
763	12/31/2001	  A	      B
764	12/31/2001	  A	      B
766	12/31/2001	  A	      F
771	12/31/2001	  A	      B
772	12/31/2001	  A	      B
781	12/31/2001	  A	      C
783	12/31/2001	  A	      B
785	12/31/2001	  A	      B
786	12/31/2001	  A	      B
789	12/31/2001	  B	      A
790	12/31/2001	  A	      B
792	12/31/2001	  A	      B
795	12/31/2001	  A	      B
803	12/31/2001	  A	      F
805	12/31/2001	  D	      A
808	12/31/2001	  A	      F
817	12/31/2001	  A	      D
828	12/31/2001	  A	      D
832	12/31/2001	  A	      B
840	12/31/2001	  A	      B
864	12/31/2001	  A	      B
865	12/31/2001	  A	      C
866	12/31/2001	  A	      B
883	12/31/2001	  B	      A
897	12/31/2001	  A	      B
910	12/31/2001	  C	      F
918	12/31/2001	  A	      B
922	12/31/2001	  A	      C
936	12/31/2001	  A	      C
953	12/31/2001	  B	      A
-------------------------------------------------
 
-----------False positives in fold no.3----------
 
rm_key | statement_date | predicted | actual 
955	12/31/2001	  A	      B
960	12/31/2001	  B	      F
981	12/31/2001	  A	      D
985	12/31/2001	  F	      B
989	12/31/2001	  D	      A
992	12/31/2001	  A	      B
995	12/31/2001	  A	      F
998	12/31/2001	  A	      C
1010	12/31/2001	  B	      A
1048	12/31/2001	  A	      F
1049	12/31/2001	  C	      B
1054	12/31/2001	  A	      B
1061	12/31/2001	  A	      B
1062	12/31/2001	  A	      B
1065	12/31/2001	  A	      B
1080	12/31/2001	  A	      D
1164	12/31/2001	  A	      B
1168	12/31/2001	  A	      B
629	12/31/2002	  F	      B
637	12/31/2002	  A	      B
640	12/31/2002	  A	      B
647	12/31/2002	  A	      B
655	12/31/2002	  A	      D
669	12/31/2002	  A	      B
674	12/31/2002	  D	      A
677	12/31/2002	  F	      B
682	12/31/2002	  B	      A
686	12/31/2002	  D	      A
700	12/31/2002	  A	      C
704	12/31/2002	  A	      B
706	12/31/2002	  A	      B
714	12/31/2002	  A	      D
717	12/31/2002	  A	      B
720	12/31/2002	  A	      B
722	12/31/2002	  A	      C
744	12/31/2002	  A	      B
745	12/31/2002	  A	      C
755	12/31/2002	  D	      C
757	12/31/2002	  A	      D
758	12/31/2002	  A	      B
759	12/31/2002	  A	      C
766	12/31/2002	  A	      B
771	12/31/2002	  B	      D
774	12/31/2002	  A	      D
781	12/31/2002	  A	      C
783	12/31/2002	  A	      B
786	12/31/2002	  F	      A
789	12/31/2002	  A	      C
792	12/31/2002	  A	      B
794	12/31/2002	  F	      B
796	12/31/2002	  F	      C
805	12/31/2002	  A	      D
808	12/31/2002	  A	      B
